Language, Program, Package, Core(s), Time (milisec)
python , insertionsort, 18.861023 , 16.884033 , 0.000000 , 0.000000 ,  884.815 
python , insertionsort, 22.397888 , 19.977112 , 0.000000 , 0.000000 ,  1085.58 
python , insertionsort, 19.190735 , 17.145325 , 0.000000 , 0.000000 ,  921.015 
python , insertionsort, 21.720520 , 19.383301 , 0.000000 , 0.000000 ,  1037.71 
python , quicksort, 1.436523 , 1.229248 , 0.000000 , 0.000000 ,  90.55 
python , quicksort, 1.797729 , 1.590332 , 0.000000 , 0.000000 ,  87.409 
python , quicksort, 1.476990 , 1.277344 , 0.000000 , 0.000000 ,  88.188 
python , quicksort, 1.669189 , 1.475586 , 0.000000 , 0.000000 ,  89.511 
python , quicksort, 1.626770 , 1.424438 , 0.000000 , 0.000000 ,  88.845 
python , quicksort, 1.733704 , 1.537598 , 0.000000 , 0.000000 ,  89.508 
python , quicksort, 1.601013 , 1.389160 , 0.000000 , 0.000000 ,  89.36 
python , quicksort, 1.775696 , 1.573914 , 0.000000 , 0.000000 ,  88.061 
python , quicksort, 1.600098 , 1.391663 , 0.000000 , 0.000000 ,  86.076 
python , quicksort, 1.776062 , 1.574402 , 0.000000 , 0.000000 ,  88.044 
